identifier,title,date,year,service_code,service,speaker,book,passage,chapter,verses,audio_mp3,audio_ogg,details_url,size_bytes
2018.08.19.MColossians4.1718JackWerth,2018.08.19.M Colossians 4.17-18 - Jack Werth,2018-08-19,2018,M,Morning Service,Jack Werth,Colossians,Colossians 4:17-18,4,17-18,https://archive.org/download/2018.08.19.MColossians4.1718JackWerth/2018.08.19.M%20Colossians%204.17-18%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.08.19.MColossians4.1718JackWerth/2018.08.19.M%20Colossians%204.17-18%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.08.19.MColossians4.1718JackWerth,50674663
2018.08.19.XJonah1.1117JackWerth,2018.08.19.X Jonah 1.11-17 - Jack Werth,2018-08-19,2018,X,Bible Study,Jack Werth,Jonah,Jonah 1:11-17,1,11-17,https://archive.org/download/2018.08.19.XJonah1.1117JackWerth/2018.08.19.X%20Jonah%201.11-17%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.08.19.XJonah1.1117JackWerth/2018.08.19.X%20Jonah%201.11-17%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.08.19.XJonah1.1117JackWerth,62006736
2018.08.26.ETitus2.1112JackWerth,2018.08.26.E Titus 2.11-12 - Jack Werth,2018-08-26,2018,E,Evening Service,Jack Werth,Titus,Titus 2:11-12,2,11-12,https://archive.org/download/2018.08.26.ETitus2.1112JackWerth/2018.08.26.E%20Titus%202.11-12%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.08.26.ETitus2.1112JackWerth/2018.08.26.E%20Titus%202.11-12%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.08.26.ETitus2.1112JackWerth,59778063
2018.08.26.MLuke1.14JackWerth,2018.08.26.M Luke 1.1-4 - Jack Werth,2018-08-26,2018,M,Morning Service,Jack Werth,Luke,Luke 1:1-4,1,1-4,https://archive.org/download/2018.08.26.MLuke1.14JackWerth/2018.08.26.M%20Luke%201.1-4%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.08.26.MLuke1.14JackWerth/2018.08.26.M%20Luke%201.1-4%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.08.26.MLuke1.14JackWerth,62435678
2018.08.26.XJonah1.172.1JackWerth,2018.08.26.X Jonah 1.17-2.1 - Jack Werth,2018-08-26,2018,X,Bible Study,Jack Werth,Jonah,Jonah 1:17-2:1,1,17-2.1,https://archive.org/download/2018.08.26.XJonah1.172.1JackWerth/2018.08.26.X%20Jonah%201.17-2.1%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.08.26.XJonah1.172.1JackWerth/2018.08.26.X%20Jonah%201.17-2.1%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.08.26.XJonah1.172.1JackWerth,69672004
2018.09.02.ETitus2.12bJackWerth,2018.09.02.E Titus 2.12b - Jack Werth,2018-09-02,2018,E,Evening Service,Jack Werth,Titus,Titus 2:12b,2,12b,https://archive.org/download/2018.09.02.ETitus2.12bJackWerth/2018.09.02.E%20Titus%202.12b%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.09.02.ETitus2.12bJackWerth/2018.09.02.E%20Titus%202.12b%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.09.02.ETitus2.12bJackWerth,58054656
2018.09.02.MLuke1.57JackWerth,2018.09.02.M Luke 1.5-7 - Jack Werth,2018-09-02,2018,M,Morning Service,Jack Werth,Luke,Luke 1:5-7,1,5-7,https://archive.org/download/2018.09.02.MLuke1.57JackWerth/2018.09.02.M%20Luke%201.5-7%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.09.02.MLuke1.57JackWerth/2018.09.02.M%20Luke%201.5-7%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.09.02.MLuke1.57JackWerth,74179805
2018.09.16.ETitus2.13JackWerth,2018.09.16.E Titus 2.13 - Jack Werth,2018-09-16,2018,E,Evening Service,Jack Werth,Titus,Titus 2:13,2,13,https://archive.org/download/2018.09.16.ETitus2.13JackWerth/2018.09.16.E%20Titus%202.13%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.09.16.ETitus2.13JackWerth/2018.09.16.E%20Titus%202.13%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.09.16.ETitus2.13JackWerth,59622580
2018.09.16.MLuke1.817JackWerth,2018.09.16.M Luke 1.8-17 - Jack Werth,2018-09-16,2018,M,Morning Service,Jack Werth,Luke,Luke 1:8-17,1,8-17,https://archive.org/download/2018.09.16.MLuke1.817JackWerth/2018.09.16.M%20Luke%201.8-17%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.09.16.MLuke1.817JackWerth/2018.09.16.M%20Luke%201.8-17%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.09.16.MLuke1.817JackWerth,70347489
2018.09.16.XJonah1.172.10JackWerth,2018.09.16.X Jonah 1.17-2.10 - Jack Werth,2018-09-16,2018,X,Bible Study,Jack Werth,Jonah,Jonah 1:17-2:10,1,17-2.10,https://archive.org/download/2018.09.16.XJonah1.172.10JackWerth/2018.09.16.X%20Jonah%201.17-2.10%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.09.16.XJonah1.172.10JackWerth/2018.09.16.X%20Jonah%201.17-2.10%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.09.16.XJonah1.172.10JackWerth,55705922
